0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
9.44E-02,9.40E-01,3.69E-04,9.40E-01,5.88E-04,9.40E-01,5.00E-04,9.39E-01,2.38E-04,9.40E-01,2.01E-04
1.89E-01,8.54E-01,8.73E-04,8.53E-01,1.49E-03,8.53E-01,1.08E-03,8.51E-01,7.08E-04,8.53E-01,5.98E-04
2.83E-01,7.72E-01,1.26E-03,7.70E-01,2.28E-03,7.70E-01,1.67E-03,7.67E-01,9.26E-04,7.70E-01,9.54E-04
3.78E-01,6.84E-01,1.76E-03,6.81E-01,2.98E-03,6.82E-01,2.25E-03,6.77E-01,9.39E-04,6.81E-01,1.23E-03
4.72E-01,6.12E-01,2.18E-03,6.08E-01,3.45E-03,6.09E-01,2.62E-03,6.03E-01,9.28E-04,6.08E-01,1.38E-03
5.66E-01,5.43E-01,2.66E-03,5.39E-01,3.86E-03,5.40E-01,2.83E-03,5.34E-01,1.14E-03,5.39E-01,1.53E-03
6.61E-01,4.74E-01,3.15E-03,4.70E-01,4.29E-03,4.71E-01,2.94E-03,4.64E-01,1.71E-03,4.70E-01,1.73E-03
7.55E-01,4.15E-01,3.50E-03,4.10E-01,4.62E-03,4.11E-01,2.94E-03,4.05E-01,2.40E-03,4.11E-01,1.97E-03
8.50E-01,3.58E-01,4.08E-03,3.52E-01,4.92E-03,3.53E-01,2.97E-03,3.47E-01,3.03E-03,3.53E-01,2.20E-03
9.44E-01,3.07E-01,4.37E-03,3.01E-01,5.15E-03,3.02E-01,2.92E-03,2.97E-01,3.57E-03,3.03E-01,2.44E-03
1.04E+00,2.56E-01,4.85E-03,2.50E-01,5.42E-03,2.51E-01,2.91E-03,2.46E-01,4.17E-03,2.52E-01,2.70E-03
1.13E+00,2.10E-01,5.15E-03,2.03E-01,5.61E-03,2.04E-01,2.83E-03,2.00E-01,4.72E-03,2.05E-01,2.97E-03
1.23E+00,1.70E-01,5.30E-03,1.63E-01,5.75E-03,1.64E-01,2.72E-03,1.60E-01,5.16E-03,1.65E-01,3.20E-03
1.32E+00,1.34E-01,5.45E-03,1.26E-01,5.86E-03,1.27E-01,2.58E-03,1.24E-01,5.62E-03,1.29E-01,3.38E-03
1.42E+00,1.00E-01,5.38E-03,9.25E-02,5.90E-03,9.31E-02,2.46E-03,9.10E-02,6.06E-03,9.58E-02,3.70E-03
1.51E+00,6.92E-02,5.32E-03,6.14E-02,5.95E-03,6.16E-02,2.27E-03,6.06E-02,6.48E-03,6.48E-02,3.94E-03
1.60E+00,4.33E-02,5.17E-03,3.54E-02,5.92E-03,3.53E-02,2.05E-03,3.51E-02,6.87E-03,3.90E-02,4.30E-03
1.70E+00,2.21E-02,5.10E-03,1.41E-02,5.87E-03,1.37E-02,1.81E-03,1.43E-02,7.18E-03,1.76E-02,4.55E-03
1.79E+00,4.78E-03,5.11E-03,-3.08E-03,5.76E-03,-3.98E-03,1.60E-03,-2.39E-03,7.49E-03,1.63E-04,4.78E-03
1.89E+00,-6.94E-03,5.15E-03,-1.49E-02,5.55E-03,-1.59E-02,1.45E-03,-1.35E-02,7.71E-03,-1.15E-02,5.19E-03
1.98E+00,-1.13E-02,5.55E-03,-1.91E-02,5.17E-03,-2.04E-02,1.07E-03,-1.69E-02,7.78E-03,-1.60E-02,5.23E-03
2.08E+00,-8.12E-03,5.78E-03,-1.57E-02,4.66E-03,-1.73E-02,1.21E-03,-1.27E-02,7.81E-03,-1.25E-02,5.66E-03
2.17E+00,-2.89E-03,6.29E-03,-1.04E-02,4.09E-03,-1.22E-02,1.35E-03,-6.46E-03,7.71E-03,-7.28E-03,5.66E-03
2.27E+00,1.43E-03,6.71E-03,-6.08E-03,3.51E-03,-8.32E-03,1.75E-03,-1.40E-03,7.55E-03,-2.88E-03,5.73E-03
2.36E+00,4.40E-03,7.12E-03,-3.12E-03,3.07E-03,-5.53E-03,2.03E-03,2.23E-03,7.21E-03,1.16E-05,5.79E-03
2.45E+00,6.19E-03,7.34E-03,-1.31E-03,2.69E-03,-3.94E-03,2.20E-03,4.48E-03,6.75E-03,1.69E-03,5.87E-03
2.55E+00,7.17E-03,7.45E-03,-2.60E-04,2.22E-03,-3.28E-03,2.31E-03,5.73E-03,6.20E-03,2.54E-03,5.86E-03
2.64E+00,7.14E-03,7.80E-03,-2.95E-04,1.81E-03,-3.39E-03,2.32E-03,5.97E-03,5.62E-03,2.36E-03,5.48E-03
2.74E+00,7.29E-03,7.55E-03,-5.49E-05,1.44E-03,-3.56E-03,2.52E-03,6.15E-03,4.92E-03,2.18E-03,5.60E-03
2.83E+00,6.41E-03,7.72E-03,-9.21E-04,1.37E-03,-4.09E-03,2.49E-03,5.67E-03,4.48E-03,1.31E-03,5.15E-03
2.93E+00,5.90E-03,7.48E-03,-1.32E-03,1.33E-03,-4.68E-03,2.72E-03,5.39E-03,3.90E-03,6.57E-04,4.99E-03
3.02E+00,5.34E-03,7.46E-03,-1.75E-03,1.34E-03,-5.64E-03,2.95E-03,4.96E-03,3.25E-03,1.02E-04,4.50E-03
3.12E+00,4.25E-03,7.28E-03,-2.31E-03,1.72E-03,-5.76E-03,2.85E-03,4.49E-03,2.85E-03,-4.21E-04,4.12E-03
3.21E+00,4.17E-03,6.68E-03,-1.90E-03,2.09E-03,-6.12E-03,3.27E-03,4.43E-03,2.20E-03,-6.49E-04,3.90E-03
3.30E+00,3.42E-03,6.46E-03,-2.19E-03,2.45E-03,-6.01E-03,3.10E-03,4.33E-03,1.83E-03,-7.26E-04,3.43E-03
3.40E+00,3.35E-03,5.90E-03,-1.83E-03,2.94E-03,-6.19E-03,3.33E-03,4.43E-03,1.33E-03,-8.32E-04,3.26E-03
3.49E+00,3.13E-03,5.37E-03,-1.60E-03,3.47E-03,-6.26E-03,3.38E-03,4.42E-03,9.89E-04,-9.12E-04,3.16E-03
3.59E+00,2.53E-03,4.93E-03,-1.80E-03,3.75E-03,-5.99E-03,3.13E-03,4.63E-03,7.03E-04,-1.07E-03,3.06E-03
3.68E+00,2.54E-03,4.35E-03,-1.43E-03,4.21E-03,-5.96E-03,3.22E-03,4.80E-03,6.43E-04,-1.39E-03,3.27E-03
3.78E+00,2.04E-03,3.99E-03,-1.57E-03,4.44E-03,-5.94E-03,3.13E-03,4.47E-03,3.95E-04,-1.59E-03,3.16E-03
3.87E+00,1.92E-03,3.66E-03,-1.35E-03,4.64E-03,-5.66E-03,3.15E-03,4.53E-03,4.93E-04,-2.09E-03,3.40E-03
3.96E+00,1.42E-03,3.45E-03,-1.51E-03,4.71E-03,-5.49E-03,3.06E-03,4.31E-03,6.05E-04,-2.40E-03,3.42E-03
4.06E+00,1.25E-03,3.49E-03,-1.38E-03,4.71E-03,-5.04E-03,2.98E-03,4.42E-03,8.67E-04,-2.85E-03,3.60E-03
4.15E+00,1.16E-03,3.71E-03,-1.35E-03,4.68E-03,-4.61E-03,2.89E-03,4.37E-03,1.17E-03,-3.21E-03,3.68E-03
